id,text,language
1,"A goal|without a deadline|is a fantasy.",en
2,"Discipline|outlasts motivation.",en
3,"Small steps|still move you|forward.",en
4,"Done is better|than perfect.",en
5,"Consistency|beats intensity.",en
6,"Your future|is built|today.",en
7,"Comfort|is the enemy|of growth.",en
8,"Dreams need|deadlines too.",en
9,"Action|turns wishes|into results.",en
10,"Start before|you feel ready.",en
11,"Un obiettivo|senza scadenza|è solo un desiderio.",it
12,"La disciplina resta,|la motivazione va e viene.",it
13,"Un passo alla volta|si arriva|ovunque.",it
14,"Meglio farlo adesso|che farlo perfetto.",it
15,"Chi è costante vince,|chi aspetta resta fermo.",it
16,"Il futuro|lo scrivi oggi,|non domani.",it
17,"Uscire dalla comfort zone|è l'unico modo|per crescere.",it
18,"Senza una data,|un sogno resta|solo un sogno.",it
19,"I fatti contano|più delle parole.",it
20,"Non aspettare|di sentirti pronto:|inizia e basta.",it
